Title,url friendly,From,To date,Include selected images,Tags,Source
Emma McCormick Goodhart,emma-mccormick-goodhart,January 2024,February 2024,"<ul><li>Emma McCormick Goodhart, “glai glaai”, 2024. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Puttisin Choojesroom.</li></ul>","Artist, Writer, Researcher, USA, Soft architecture, Climate fiction",1
Natalie Brück,natalie-bruck,July 2024,September 2024,"<ul><li>Natalie Brück, “Working On The Imaginary Object”, 2024, performance. Courtesy of the artist and Bangkok Kunsthalle. Photo by Sivakorn Charoenyothin.</li></ul>","Performance, Germany, Multidisciplinary, Video, Installation",1
Cole Lu,cole-lu,October 2024,October 2024,"<ul><li>Cole Lu, “The Engineers”, 2024, neem wood and linen. Courtesy of the artist, Nova Contemporary, and Bangkok Kunsthalle. Photo by Kanrapee Chokpaiboon, Krittawat Atthsis and Puttisin Choojesroom.</li></ul>","Sculpture, Taiwan, Pyrography, Mythology, Diaspora",1
Nicolas Amato,nicolas-amato,January 2025,February 2025,"<ul><li>Nicolas Amato, “Unwinding Architecture: the Poetics of the Snake”, 2025, mixed media. Courtesy of the artist and Bangkok Kunsthalle.</li></ul>","Architectural intervention, Mixed media, Minimalist",1
Anthony Huberman,anthony-huberman,February 2025,March 2025,"<ul><li>Anthony Huberman, “An Artist Led Approach”, 2025. Courtesy of the curator and Bangkok Kunsthalle.</li></ul>","Curator, Writer, Switzerland, Institutional research",1
Spencer Sweeney,spencer-sweeney,July 2025,December 2025,"<ul><li>Spencer Sweeney, “Living Cinematheque”, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Patsu Supakajohnwanich and Prapasiri Kasemkijkajorn.</li><li>Spencer Sweeney, “Disco Hut”, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Prapasiri Kasemkijkajorn.</li></ul>","Painter, Musician, USA, Multimedia, Performance",1
Apichaya Wannakit,apichaya-wannakit,July 2025,August 2025,"<ul><li>Apichaya Wannakit, “Legacy: between absence and eternity”, 2025, oil on canvas. Courtesy of the artist, Bangkok Kunsthalle, and Palazzo Monti.</li><li>Apichaya Wannakit, “Untitled”, 2025, oil on canvas. Courtesy of the artist, Bangkok Kunsthalle, and Palazzo Monti.</li></ul>","Painting, Thailand, Self-construction, Interconnectedness",1
Luca Lo Pinto,luca-lo-pinto,August 2025,September 2025,"<ul><li>Luca Lo Pinto, “From Display to Discourse: Expanding the Role of the Curator”, 2025. Courtesy of the curator and Bangkok Kunsthalle.</li></ul>","Editor, Curator, Italy, Exhibition-making",1
Eduardo Williams,eduardo-williams,September 2025,November 2025,"<ul><li>Eduardo Williams, “Un gif larguísimo” (A Very Long Gif), 2022. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Patsu Supakajohnwanich.</li><li>Eduardo Williams, screenings and workshop, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Krittawat Atthsis.</li></ul>","Filmmaker, Video Art, Argentina, Experimental Cinema",1
Rolf Sachs,rolf-sachs,January 2026,February 2026,"<ul><li>Rolf Sachs, “Soul Searching”, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Sirikanya Amarananthakit and Preecha Pattara.</li></ul>","Multidisciplinary, Switzerland, Photography, Design, Community engagement",1
Mafalda von Hessen,mafalda-von-hessen,January 2026,February 2026,"<ul><li>Mafalda von Hessen, “Splendor in the City”, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Sirikanya Amarananthakit and Preecha Pattara.</li></ul>","Artist, Painter, Germany, Theater Design, Urban ecosystem",1
