Title,Artist,Url friendly,From.,To date,Curated,Artist Biography,Include selected images content,Tags,Source
Nine Plus Five Works,Michel Auder,nine-plus-five-works,12 January 2024,10 March 2024,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Michel Auder (b. 1945, France) is a filmmaker who has been creating experimental movies and video art since the late 1960s. Auder is a poet of visual observation—his films bear an affinity to literary forms and can best be described as filmic poetry. He is known for his non-linear and non-narrative style, capturing his life and the lives of those around him in an intimate and fragmented manner.</p> <p>Auder’s work often blurs the lines between art, documentation, and personal narrative, the diaristic and oneiric. Throughout his career, he has produced a significant body of work ranging from fictional narratives to personal documentaries. Auder’s early adoption of the portable video camera allowed him to document the everyday phenomena of his own private experiences, with a directness that was revolutionary at the time and that is still radical after many decades.</p>","Michel Auder, “Nine Plus Five Works”, 2024. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Preecha Pattara and Samatcha Apaisuwan.","Video art, Experimental film, France, Portraiture, Travelogue",1
nostalgia for unity,Korakrit Arunanondchai,nostalgia-for-unity,31 May 2024,31 October 2024,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Korakrit Arunanondchai (b. 1986, Thailand) is a visual artist and filmmaker currently based in New York and Bangkok. His recent solo exhibitions include those at Moderna Museet in Stockholm, Art Sonje Center in Seoul, and Singapore Art Museum in Singapore (2022), Migros Museum für Gegenwartskunst in Switzerland (2021), Serralves Museum in Porto (2020), and Vienna Secession (2019).</p> <p>Arunanondchai’s work has been presented at numerous biennials and festivals, with recent presentations at the Thailand Biennale, Chiang Rai (2023), Kathmandu Triennale (2022), Gwangju Biennial (2021), Yokohama Triennial (2020), the Venice Biennale, and the Whitney Biennial (2019). In early 2018, Arunanondchai co-founded “Ghost”, a time-based media festival that happens every three years in Bangkok.</p>","Korakrit Arunanondchai, “nostalgia for unity”, 2024. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Samatcha Apaisuwan.","Site-specific, Installation, Thailand, Ritual, Ecology",1
MEND PIECE,Yoko Ono,mend-piece,30 August 2024,22 December 2024,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Since emerging onto the international art scene in the early 1960s, Yoko Ono (b. 1933, Japan) has made profound contributions to visual art, performance, filmmaking, and experimental music. Born in Tokyo in 1933, she moved with her family to New York in the mid-1950s and enrolled at Sarah Lawrence College. Over the next decade she lived in New York, Tokyo, and London, greatly influencing the international development of Fluxus and Conceptual art.</p> <p>Ono’s earliest works were often based on instructions that she communicated to the public in verbal or written form. Painting to Be Stepped On (1960 - 1961), for example, invited people to tread upon a piece of canvas placed directly on the floor, either physically or in their minds. In 1964, she compiled more than 150 of her instructions in her groundbreaking artist’s book, Grapefruit.</p>","Yoko Ono, “MEND PIECE”, A4 Arts Foundation, Cape Town version, 1966/2018. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Andrea Rossetti.","Participatory art, Conceptual art, Fluxus, Healing, Community",1
Like Nouns Slipping Into Verbs,Richard Nonas,like-nouns-slipping-into-verbs,10 January 2025,30 March 2025,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Richard Nonas (1936 - 2021, USA) was born in New York and studied literature before turning to social anthropology. He spent a decade conducting fieldwork among American Indians, an experience that profoundly shaped his later sculptural practice and his understanding of spatial perception. In the mid-1960s, at age 30, he shifted to sculpture, developing a Minimalist vocabulary centered on the idea of place.</p> <p>During the 1970s, Nonas was part of a group of artists and curators seeking alternative exhibition spaces. His works, using timbers, beams, granite curbstones, and steel planes, often rest directly on the ground. Less formal objects than spatial markers, they interrupt and activate space, revealing the interdependence of sculpture and site while generating philosophical and emotional resonance.</p>","Richard Nonas, “Like Nouns Slipping Into Verbs”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of The Richard Nonas Estate and Bangkok Kunsthalle. Photo by Krittawat Atthsis and Puttisin Choojesroom.","Minimalism, Sculpture, Anthropological, Spatial, USA",1
Calligraphic Abstraction,Tang Chang,calligraphic-abstraction,1 February 2025,13 July 2025,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Tang Chang (1934 - 1990, Thailand) was a Bangkok-born, Sino-Thai artist, painter, philosopher, poet, and scholar. Born into a modest Chinese merchant family, he was educated at a temple school until the outbreak of the Second World War ended his formal education. He began drawing and painting soon after. Although his early work was realist in nature, Chang later turned toward abstraction, initially encountering Western modernism.</p> <p>Chang’s mature artistic direction was shaped less by Western models than by his deep engagement with Theravada Buddhism and Chinese philosophies, particularly Daoism and Chan Buddhism. These traditions informed an artistic practice in which spiritual inquiry and visual form were inseparable.</p>","Tang Chang, “Calligraphic Abstraction”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of The Tang Chang Private Museum and Bangkok Kunsthalle. Photo by Puttisin Choojesroom.","Painting, Calligraphy, Abstract, Sino-Thai, Spirituality",1
Painting as Event,Xie Fan,painting-as-event,30 March 2025,4 May 2025,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Xie Fan (b. 1983, China)'s work is rooted in the exploration of permeation, the way color seeps into and bonds with its ground. His early silk paintings investigated translucency and absorption, while his more recent engagement with terracotta highlights the porous, earthen qualities of the material. By layering mineral pigments and oxides onto raw clay before firing, he allows high kiln temperatures to trigger unpredictable chemical reactions, embedding a sense of chance and transformation into each piece.</p> <p>Through these material investigations, Xie Fan challenges conventional notions of painting, expanding its boundaries beyond the canvas into the realms of objecthood and spatial experience. His works respond to shifts in light, atmosphere, and touch, emphasizing their impermanence and connection to the natural world.</p>","Xie Fan, “Painting as Event”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the artist, Marguo, and Bangkok Kunsthalle. Photo by the artist, Puttisin Choojesroom, and Panusorn Lertvananont.","Performance, Gastronomy, Ceramics, Materiality, China",1
Poetics of Horizontality,Nalattaphorn Nanta and Siriwan Simingam,poetics-of-horizontality,9 May 2025,22 August 2025,"Stefano Rabolli Pansera, Mark Chearavanont, and Gemmica Sinthawalai","<p>Nalattaphorn Nanta (b. 2000, Thailand) explores the perspectives and emotional states experienced at different stages of life. Her practice examines how behavior and thought are shaped by family as the smallest yet most formative social unit. Her work often centers on the interplay of happiness and suffering, interpreting life’s complexities while offering an uplifting and encouraging presence to viewers.</p> <p>Siriwan Simingam (b. 1998, Thailand) investigates the roles, mindsets, and complex relationships of women in contemporary society. She critiques the cultural expectations and pressures that persist despite increased intellectual freedom and self-determination. Her practice has developed into a distinctive Pop-Surrealist style, creating narrative characters that embody her reflections on female experience and social dynamics.</p>","Nalattaphorn Nanta and Siriwan Simingam, “Poetics of Horizontality”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the artists and Bangkok Kunsthalle. Photo by Puttisin Choojesroom and Krittapas Lersvananont.","Thailand, Architecture, Memory, Pop-Surrealist, Care",1
This page is intentionally left _____.,"Nat Setthana, Anusorn Thanyapalit, Theetat Thunkijjanukij, and Krack! Printmaking Collective",this-page-is-intentionally-left-blank,13 June 2025,17 August 2025,Yoonglai Collective,"<p>Yoonglai Collective (Thailand) brings together four Southeast Asian cultural practitioners—Nisa Jewcharoen, Rinrada Na Chiangmai, Awika Samukrsaman, and Parichat Tanapiwattanakul—on a shared journey to reflect on their cultural heritage and moments of departure from it. Rooted in a deep engagement with Southeast Asian narratives and shared origins, the collective explores the intersections of memory, identity, and regional belonging.</p> <p>Named after a species native to Southeast Asia, Yoonglai symbolizes the collective’s mission: to pierce through the layered histories and cultural textures of the region, extract overlooked reflections and embedded ideas, and disseminate them to foster dialogue and discovery.</p>","Yoonglai Collective, “This page is intentionally left _____.”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the curators, artists, and Bangkok Kunsthalle. Photo by Samatcha Apaisuwan and Puttisin Choojesroom.","Publishing, Language, Southeast Asia, Collective, Site-specific",1
Mitta del Santi,Ploenchan Vinyaratn,mitta-del-santi,26 September 2025,8 February 2026,"Stefano Rabolli Pansera, Mark Chearavanont, Gemmica Sinthawalai","<p>Ploenchan Vinyaratn (b. 1972, Thailand) is acclaimed for transforming fiber into a medium of environmental urgency. Long before sustainability became a global imperative, she pioneered a zero-waste practice, turning discarded materials—aluminium ribbons, plastics, fishing nets, cassette tapes—into large-scale installations that interrogate ecological fragility and humanity’s troubled relationship with nature.</p> <p>Celebrated for her dual role as artist and environmental advocate, she received the Angela Award for Lifetime Achievement in 2024. Her works appear in major collections across Thailand and have been exhibited internationally, including Singapore, Korea, Greece, and the United States.</p>","Ploenchan Vinyaratn, “Mitta del Santi”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Warun Wanapaiboon.","Textile, Sustainability, Thailand, Weaving, Ecological",1
Vernacular Objects,Mark Chearavanont,vernacular-objects,27 November 2025,15 March 2026,Mark Chearavanont,"<p>Mark Chearavanont (b. 1997, Thailand) is a curator at Bangkok Kunsthalle. He graduated from Harvard University with a degree in Art History, with a focus on Buddhist Art. His interests range from musicology to archaeology to theology, his curatorial practice draws from historical inquiry while engaging contemporary methodologies and experimental frameworks.</p> <p>At Bangkok Kunsthalle, he has curated exhibitions including “Like Nouns Slipping Into Verbs” (2025) by Richard Nonas and “Calligraphic Abstraction” (2025) by Tang Chang.</p>","Mark Chearavanont, “Vernacular Objects”, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the curator and Bangkok Kunsthalle. Photo by Prapasiri Kasemkijkajorn.","Ready-made, Material culture, Thailand, Curatorial, Urban",1
