Section,Image URL
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Martha+Atienza-+Anito-+2015-+9+minutes-+courtesy+of+the+artist.png
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Sky+Hopinka-+I-ll+Remember+You+as+You+Were-+Not+as+What+You-ll+Become-+2016-+13+minutes-+courtesy+of+the+artist.png
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Aura+Satz-+While+Smoke+Signals-+2023-+9+minutes-+courtesy+of+the+artist.jpg
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Riar+Rizaldi-+Notes+from+Gog+Magog-+2022-+20+minutes-+courtesy+of+the+artist.jpg
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Rhea+Storr-+A+Protest-+A+Celebration-+A+Mixed+Message-+2018-+12+minutes-+courtesy+of+the+artist+and+LUX+London.jpg
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Ji%C5%99%C3%AD+%C5%BD%C3%A1k-+Unfinished+Love+Letter-+2020-+23+minutes-+courtesy+of+the+artist.jpg
Infringes,https://irp.cdn-website.com/5516674f/dms3rep/multi/Puma_4.+Moving+Image+Programs-4.1+Infringes-Artwork+Images--Chulayarnnon+Siriphol-+Birth+of+Golden+Snail-+2018-+20+mins-+courtesy+of+the+artist.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Doug+Aitken-+Wilderness--Doug+Aitken-+Wilderness+1.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Doug+Aitken-+Wilderness--Doug+Aitken-+Wilderness+2.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Doug+Aitken-+Wilderness--Doug+Aitken-+Wilderness+3.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+10.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+7.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+1.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+8.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+4.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+3.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+2.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+9.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+6.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+11.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Lawrence+Lek-+Black+Cloud--Lawrence+Lek-+Black+Cloud-+courtesy+of+the+artist+5.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+7.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+2.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+8.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+3.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+6.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+1.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+5.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Ming+Wong-+After+Chinatown--Ming+Wong-+After+Chinatown-+courtesy+of+the+artist+4.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Surapong+Pinijkhar-+Sampeng--Surapong+Pinijkhar-+Sampeng+2.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Surapong+Pinijkhar-+Sampeng--Surapong+Pinijkhar-+Sampeng+1.jpg
Shapeshifting Spaces: stretched by the desires within them,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.2+Shapeshifting+Spaces+stretched+by+the+desires+within+them-Artwork+Images-Surapong+Pinijkhar-+Sampeng--Surapong+Pinijkhar-+Sampeng+3.jpg
we gather,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.3+we+gather-Artwork+Images-AFSAR-DAVRA-+Proxy+Conference+In+Forest--AFSAR-DAVRA-+Proxy+Conference+In+Forest+11.jpg
we gather,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.3+we+gather-Artwork+Images-AFSAR-DAVRA-+Proxy+Conference+In+Forest--AFSAR-DAVRA-+Proxy+Conference+In+Forest+3.jpg
we gather,https://irp.cdn-website.com/5516674f/dms3rep/multi/4.+Moving+Image+Programs-4.3+we+gather-Artwork+Images-AFSAR-DAVRA-+Proxy+Conference+In+Forest--AFSAR-DAVRA-+Proxy+Conference+In+Forest+2.jpg
